author,title,token_count,type_count,avg_sentence_length,avg_commas_per_sentence,lexical_richness,type_token_ratio,ratio_名詞,ratio_動詞,ratio_形容詞,ratio_副詞,keywords,topics,cluster,pc1,pc2,tsne_x,tsne_y
芥川 竜之介,1_秋_cleaned,1457,910,21.65,1.269,0.1792,0.1792,0.2313,0.1242,0.0152,0.0285,"照子, 従兄, 小説, 一しよ, 自身, 手紙, 話す, 言葉, 返事, 帰る","T0: 甚太夫, 兵衛, 求馬, 左近, 平太郎 | T1: 自身, 友だち, 近い, 眺める, 生活 | T2: 自分, 少年, 照子, 歩く, 往来",1,-0.7066204528149866,0.6915620914249508,-1.4598846,2.3054512
芥川 竜之介,3_あの頃の自分の事_cleaned,2221,1239,28.72,1.859,0.1686,0.1686,0.2366,0.1244,0.014,0.0262,"自分, 松岡, 講義, 大学, 小説, ノオト, 同じ, 先生, 人間, 食ふ","T0: 甚太夫, 兵衛, 求馬, 左近, 平太郎 | T1: 自身, 友だち, 近い, 眺める, 生活 | T2: 自分, 少年, 照子, 歩く, 往来",1,-0.2706219097099201,0.7201486396274771,-1.2729666,2.9013898
芥川 竜之介,5_或敵打の話_cleaned,1488,888,22.94,1.412,0.2086,0.2086,0.2607,0.1315,0.0131,0.0239,"甚太夫, 兵衛, 求馬, 左近, 平太郎, 一行, 瀬沼, 打つ, 城下, 恩地","T0: 甚太夫, 兵衛, 求馬, 左近, 平太郎 | T1: 自身, 友だち, 近い, 眺める, 生活 | T2: 自分, 少年, 照子, 歩く, 往来",1,-0.31266687522064196,1.4088318924627927,-0.8499091,4.8146067
芥川 竜之介,4_或阿呆の一生_cleaned,1697,1022,19.79,0.483,0.1784,0.1784,0.237,0.1186,0.0144,0.0178,"自身, 友だち, 近い, 眺める, 思ひ出す, 生活, 読む, 一度, 言葉, 違ひ","T0: 甚太夫, 兵衛, 求馬, 左近, 平太郎 | T1: 自身, 友だち, 近い, 眺める, 生活 | T2: 自分, 少年, 照子, 歩く, 往来",1,0.08757541098878974,1.4601686719185678,-3.7668056,4.941485
芥川 竜之介,2_浅草公園_cleaned,1090,509,13.76,0.428,0.1744,0.1744,0.2711,0.1353,0.0113,0.0231,"少年, 歩く, 後ろ, 斜め, 飾り窓, 人形, 変る, 往来, むし, 父親","T0: 甚太夫, 兵衛, 求馬, 左近, 平太郎 | T1: 自身, 友だち, 近い, 眺める, 生活 | T2: 自分, 少年, 照子, 歩く, 往来",1,0.008226472676877256,1.1691861359671458,0.4622884,5.484913
梶井 基次郎,2_城のある町にて_cleaned,2266,1339,19.66,0.673,0.1582,0.1582,0.2076,0.1583,0.0167,0.0238,"帰る, ゆく, 笑う, 祖母, 自分, 思える, 歩く, 義兄, 女の子, 高い","T0: 自分, 帰る, ゆく, 青年, 笑う | T1: 自分, 母親, ゆく, 死ぬ, 帰る | T2: 然し, 自分, 言葉, 電車, ゆく",2,-0.9877386658096262,-0.8996091458360435,0.42493317,-4.2495184
梶井 基次郎,5_冬の蠅_cleaned,1391,871,20.95,0.429,0.189,0.189,0.2007,0.1663,0.0173,0.0202,"ゆく, 歩く, 身体, 部屋, 自動車, 風景, 自分, 帰る, 温泉, 落ちる","T0: 自分, 帰る, ゆく, 青年, 笑う | T1: 自分, 母親, ゆく, 死ぬ, 帰る | T2: 然し, 自分, 言葉, 電車, ゆく",2,-1.3646906948137039,-0.7044036762630409,1.1662966,-5.4532013
梶井 基次郎,3_橡の花_cleaned,1250,797,18.91,0.223,0.1691,0.1691,0.1912,0.1445,0.0189,0.021,"然し, 自分, 言葉, 電車, ゆく, 美しい, 笑う, 可愛い, 面白い, 乗る","T0: 自分, 帰る, ゆく, 青年, 笑う | T1: 自分, 母親, ゆく, 死ぬ, 帰る | T2: 然し, 自分, 言葉, 電車, ゆく",2,-1.2156375858211654,-0.34989970666264536,-0.24893622,-2.7770965
梶井 基次郎,4_のんきな患者_cleaned,1898,969,56.21,1.581,0.1207,0.1207,0.2082,0.1625,0.0146,0.0302,"自分, 母親, 死ぬ, 病気, 人間, 寝る, 不安, 悪い, 帰る, 非常","T0: 自分, 帰る, ゆく, 青年, 笑う | T1: 自分, 母親, ゆく, 死ぬ, 帰る | T2: 然し, 自分, 言葉, 電車, ゆく",2,-1.1051564411156038,-1.6576408912387859,-0.37818307,-5.9265532
梶井 基次郎,1_ある崖上の感情_cleaned,1396,802,25.87,0.691,0.1545,0.1545,0.2018,0.1459,0.0169,0.0292,"自分, 青年, 眺める, 部屋, 空想, 崖路, 生島, 秘密, 崖下, 相手","T0: 自分, 帰る, ゆく, 青年, 笑う | T1: 自分, 母親, ゆく, 死ぬ, 帰る | T2: 然し, 自分, 言葉, 電車, ゆく",2,-1.3240387544346746,-0.7709853738451378,-1.7901684,-4.114561
永井 荷風,1_あぢさゐ_cleaned,1535,995,24.53,1.453,0.1971,0.1971,0.2213,0.1437,0.0177,0.028,"わたし, 芸者, 帰る, 逢う, 手前, はなし, 〆る, 兄さん, 小園, 新橋","T0: 致す, 愚僧, 大木, 御座, 大金 | T1: 道子, 電車, 小岩, 毎夜, 帰る | T2: 浮世絵, 描く, わたし, 時代, 至る",2,-1.3023653730426978,0.041647579673832015,-1.8268634,-1.1243392
永井 荷風,2_吾妻橋_cleaned,924,648,31.32,1.549,0.2381,0.2381,0.2692,0.134,0.0164,0.0133,"道子, 電車, 小岩, 毎夜, 吾妻橋, わたし, しまふ, 帰る, 母親, アパト","T0: 致す, 愚僧, 大木, 御座, 大金 | T1: 道子, 電車, 小岩, 毎夜, 帰る | T2: 浮世絵, 描く, わたし, 時代, 至る",1,-0.19663712350232734,2.233167680336564,-6.4847484,6.478062
永井 荷風,5_榎物語_cleaned,1491,961,58.69,4.058,0.2369,0.2369,0.345,0.1322,0.0093,0.0215,"致す, 愚僧, 大木, 御座, 住職, 大金, 知れる, 金子, 満行, 様子","T0: 致す, 愚僧, 大木, 御座, 大金 | T1: 道子, 電車, 小岩, 毎夜, 帰る | T2: 浮世絵, 描く, わたし, 時代, 至る",1,0.7507187996185816,2.9900141890715126,-1.2204477,8.341763
永井 荷風,4_江戸芸術論_cleaned,16825,5309,37.85,0.794,0.1225,0.1225,0.3556,0.1082,0.0101,0.0225,"浮世絵, 描く, 時代, 至る, 板画, 美術, 春信, 絵本, 演劇, 広重","T0: 致す, 愚僧, 大木, 御座, 大金 | T1: 道子, 電車, 小岩, 毎夜, 帰る | T2: 浮世絵, 描く, わたし, 時代, 至る",0,3.6026532144470336,1.8229693466861472,5.080298,4.190138
永井 荷風,3_雨瀟瀟_cleaned,3368,2119,29.32,0.156,0.2336,0.2336,0.3134,0.1294,0.0162,0.0261,"わたし, ヨウ, 芸者, 薗八, 稽古, 小半, 三味線, 御座, 小説, 妾宅","T0: 致す, 愚僧, 大木, 御座, 大金 | T1: 道子, 電車, 小岩, 毎夜, 帰る | T2: 浮世絵, 描く, わたし, 時代, 至る",1,0.1516398847816453,2.10856455300809,-2.0370643,6.994228
三木 清,2_解釈学と修辞学_cleaned,1817,519,29.72,1.09,0.1009,0.1009,0.2765,0.1512,0.0124,0.0157,"修辞学, 言葉, 表現, 論理, 解釈学, 関係, 行為, 思考, 技術, 人間","T0: 哲学, 私たち, 自己, 生活, 懐疑 | T1: ゲテ, 読む, 歴史, 自然, 読書 | T2: 修辞学, 表現, 言葉, 関係, 学問",1,0.6606667103473122,0.2087656201901104,5.1707945,6.940133
三木 清,3_科学批判の課題_cleaned,2948,958,35.17,1.308,0.1136,0.1136,0.2747,0.1416,0.0089,0.0234,"学問, 存在, 関係, 科学, 社会, 意味, アリストテレス, 哲学, 抽象, 自然科学","T0: 哲学, 私たち, 自己, 生活, 懐疑 | T1: ゲテ, 読む, 歴史, 自然, 読書 | T2: 修辞学, 表現, 言葉, 関係, 学問",1,0.6868301207876643,0.2818542032066463,2.7990515,6.480893
三木 清,1_如何に読書すべきか_cleaned,1829,593,26.16,0.763,0.1095,0.1095,0.2336,0.1831,0.0264,0.0219,"読む, 読書, 自分, 必要, 善い, 繰り返す, 古典, 一般的, 教養, 習慣","T0: 哲学, 私たち, 自己, 生活, 懐疑 | T1: ゲテ, 読む, 歴史, 自然, 読書 | T2: 修辞学, 表現, 言葉, 関係, 学問",2,-1.5135393730878077,-1.950012370657284,2.2495975,-6.7919955
三木 清,4_語られざる哲学_cleaned,8259,2332,35.56,1.094,0.0844,0.0844,0.2327,0.1554,0.0225,0.0168,"哲学, 私たち, 自己, 生活, 懐疑, 語る, 求める, 言葉, 活動, 永遠","T0: 哲学, 私たち, 自己, 生活, 懐疑 | T1: ゲテ, 読む, 歴史, 自然, 読書 | T2: 修辞学, 表現, 言葉, 関係, 学問",2,0.2820178772346094,-1.2979433949282013,3.5020616,-0.9211727
三木 清,5_ゲーテに於ける自然と歴史_cleaned,4687,1349,28.02,1.19,0.0971,0.0971,0.2631,0.1288,0.0123,0.0191,"ゲテ, 歴史, 自然, 意味, 歴史的, 人間, 概念, 自己, 或る, 発展","T0: 哲学, 私たち, 自己, 生活, 懐疑 | T1: ゲテ, 読む, 歴史, 自然, 読書 | T2: 修辞学, 表現, 言葉, 関係, 学問",1,1.0239896037177185,0.4459396390192345,3.338162,5.3479
坂口 安吾,5_アンゴウ_cleaned,1643,883,26.86,1.729,0.1683,0.1683,0.2232,0.1426,0.0176,0.0199,"矢島, タカ, 神尾, 暗号, 蔵書, 自分, 然し, 出征, 失明, 売る","T0: ノブ子, 田代, 浮気, 好き, 人間 | T1: 知れる, 自分, 蕗子, 人間, でる | T2: 矢島, タカ, 神尾, 暗号, 蔵書",2,-0.6763979563007367,0.19082682720411784,0.034207255,-1.4625533
坂口 安吾,2_青鬼の褌を洗う女_cleaned,5569,2485,33.65,2.221,0.1199,0.1199,0.2023,0.1323,0.0214,0.0241,"ノブ子, 田代, 浮気, 好き, 人間, 自分, 死ぬ, すぎる, 口説く, あげる","T0: ノブ子, 田代, 浮気, 好き, 人間 | T1: 知れる, 自分, 蕗子, 人間, でる | T2: 矢島, タカ, 神尾, 暗号, 蔵書",2,-0.3436113903461031,-0.7940297379523088,-3.594839,-1.69819
坂口 安吾,4_雨宮紅庵_cleaned,2190,1192,48.79,1.986,0.1524,0.1524,0.2208,0.1401,0.0211,0.0274,"蕗子, 雨宮, 自分, 生活, 様子, 考へる, 言葉, とにかく, 考ふ, 自身","T0: ノブ子, 田代, 浮気, 好き, 人間 | T1: 知れる, 自分, 蕗子, 人間, でる | T2: 矢島, タカ, 神尾, 暗号, 蔵書",2,-1.0979312612968457,-0.39880351181345136,-2.4138267,-2.5294356
坂口 安吾,1_青い絨毯_cleaned,1523,943,27.09,1.553,0.2094,0.2094,0.2342,0.146,0.0209,0.0243,"葛巻, 暗い, 部屋, 絨毯, 思い, 歩く, 令嬢, 借金, 良い, 徹夜","T0: ノブ子, 田代, 浮気, 好き, 人間 | T1: 知れる, 自分, 蕗子, 人間, でる | T2: 矢島, タカ, 神尾, 暗号, 蔵書",2,-1.3154636180581032,0.3850931177440076,-4.8278036,1.2292423
坂口 安吾,3_明日は天気になれ_cleaned,18271,6689,28.05,1.284,0.1068,0.1068,0.2482,0.1389,0.0184,0.0207,"知れる, 自分, 人間, ゴルフ, 食う, でる, 清源, 戦争, 多い, 対局","T0: ノブ子, 田代, 浮気, 好き, 人間 | T1: 知れる, 自分, 蕗子, 人間, でる | T2: 矢島, タカ, 神尾, 暗号, 蔵書",0,2.136243380786087,-1.0914062933520519,6.6191044,1.2094015
横光 利一,4_機械_cleaned,2960,1198,57.15,0.922,0.1118,0.1118,0.185,0.1677,0.0197,0.0316,"軽部, 屋敷, 主人, 仕事, 殴る, 自分, 暗室, 這入る, 細君, 私たち","T0: 自分, 辰子, 軽部, 氣持ち, 屋敷 | T1: 笑う, 自分, 直ぐ, 帰る, 死ぬ | T2: パリ, 人間, 美しい, 人々, 歩く",2,-1.6641951781463247,-2.4590759596891374,-0.06697632,-6.6987553
横光 利一,3_悲しみの代価_cleaned,7154,2007,22.64,0.725,0.0664,0.0664,0.2072,0.137,0.015,0.0317,"自分, 辰子, 氣持ち, 手紙, 愛する, 直ぐ, 歩く, 暫く, 矢張り, もし","T0: 自分, 辰子, 軽部, 氣持ち, 屋敷 | T1: 笑う, 自分, 直ぐ, 帰る, 死ぬ | T2: パリ, 人間, 美しい, 人々, 歩く",2,-0.022207685217994367,-1.6949473623970281,-5.897045,-4.057879
横光 利一,2_御身_cleaned,1431,810,17.57,0.597,0.1509,0.1509,0.1831,0.1571,0.0174,0.0306,"笑う, 自分, 直ぐ, 帰る, 赤子, 死ぬ, 泣く, 子供, 黙る, 大きい","T0: 自分, 辰子, 軽部, 氣持ち, 屋敷 | T1: 笑う, 自分, 直ぐ, 帰る, 死ぬ | T2: パリ, 人間, 美しい, 人々, 歩く",2,-1.745462307462192,-1.5235054206793492,-1.227664,-5.3182073
横光 利一,1_欧洲紀行_cleaned,14237,5129,20.12,0.921,0.1042,0.1042,0.2566,0.1395,0.018,0.0184,"パリ, 人間, 美しい, 人々, 歩く, 帰る, 良い, フランス, ヨロッパ, 廻る","T0: 自分, 辰子, 軽部, 氣持ち, 屋敷 | T1: 笑う, 自分, 直ぐ, 帰る, 死ぬ | T2: パリ, 人間, 美しい, 人々, 歩く",0,1.8019457645952877,-0.6471424172292202,6.893101,1.0566431
横光 利一,5_罌粟の中_cleaned,2244,1253,33.57,1.849,0.1737,0.1737,0.229,0.143,0.016,0.0263,"ヨハン, 自分, ハンガリヤ, イレネ, ダニュブ, 踊子, 罌粟, ホテル, 部屋, 案内","T0: 自分, 辰子, 軽部, 氣持ち, 屋敷 | T1: 笑う, 自分, 直ぐ, 帰る, 死ぬ | T2: パリ, 人間, 美しい, 人々, 歩く",2,-0.7673409729799243,-0.015008630782533889,-1.1312007,-0.98477936
谷崎 潤一郎,3_鍵_cleaned,14895,5901,27.43,1.57,0.1218,0.1218,0.3295,0.1185,0.0127,0.0209,"敏子, 自分, 日記, 病人, 思る, シテ, 時間, ソノ, 知れる, 午後","T0: 自分, わたし, 秀次, 順慶, 関白 | T1: 西洋, 白い, 暗い, 座敷, あゝ | T2: 敏子, 自分, 日記, 病人, 思る",0,3.1541042078298487,1.1240603337634647,5.4548655,3.9374306
谷崎 潤一郎,1_蘆刈_cleaned,4638,2537,81.84,1.894,0.1418,0.1418,0.2019,0.1596,0.0175,0.0261,"わたし, 自分, さま, 子供, もらう, 夫婦, しず, ゆう, ふう, 叔母","T0: 自分, わたし, 秀次, 順慶, 関白 | T1: 西洋, 白い, 暗い, 座敷, あゝ | T2: 敏子, 自分, 日記, 病人, 思る",2,-0.7309414045543824,-1.507507459692096,1.1106284,-4.2942467
谷崎 潤一郎,5_聞書抄_cleaned,11647,4966,75.72,5.483,0.1208,0.1208,0.2419,0.1442,0.0128,0.0189,"秀次, 自分, 順慶, 関白, 乳母, 太閤, 愚僧, 盲人, 治部, 存ずる","T0: 自分, わたし, 秀次, 順慶, 関白 | T1: 西洋, 白い, 暗い, 座敷, あゝ | T2: 敏子, 自分, 日記, 病人, 思る",0,1.641440033308176,-0.6649775083422641,7.4448943,0.6097079
谷崎 潤一郎,2_陰翳礼讃_cleaned,4785,2328,46.83,3.005,0.1447,0.1447,0.2305,0.1376,0.0259,0.0254,"西洋, 白い, 暗い, 座敷, あゝ, 陰翳, 電燈, 明るい, 時代, 光線","T0: 自分, わたし, 秀次, 順慶, 関白 | T1: 西洋, 白い, 暗い, 座敷, あゝ | T2: 敏子, 自分, 日記, 病人, 思る",2,-0.7368441398852889,-0.45002576646243153,-5.619053,-0.95991606
谷崎 潤一郎,4_紀伊国狐憑漆掻語_cleaned,981,597,53.47,3.75,0.1544,0.1544,0.1825,0.1581,0.0124,0.0317,"ガタロ, 寝る, 帰る, 引っ張る, 這入る, 上る, 小男, かかる, いける, 小便","T0: 自分, わたし, 秀次, 順慶, 関白 | T1: 西洋, 白い, 暗い, 座敷, あゝ | T2: 敏子, 自分, 日記, 病人, 思る",2,-1.579571397422115,-1.4485338518953448,-1.2158848,-5.939288
国木田 独歩,1_運命論者_cleaned,2347,1118,29.75,1.452,0.1399,0.1399,0.2079,0.1315,0.0154,0.0232,"自分, 貴様, 里子, 運命, 如何, 秘密, 怨霊, 話す, 言葉, 事実","T0: 自分, 叔父, 人々, 幸助, 語る | T1: 岡本, 少女, 馬鈴薯, 言葉, 笑う | T2: 自分, 貴様, 里子, 運命, 如何",2,-0.43561250477139857,-0.0911558463119825,-0.1439879,-0.3250941
国木田 独歩,5_源おじ_cleaned,1904,1057,25.01,0.99,0.208,0.208,0.283,0.1542,0.0258,0.0188,"叔父, 人々, 幸助, 言葉, 教師, 語る, 若者, 城下, 乞食, 帰る","T0: 自分, 叔父, 人々, 幸助, 語る | T1: 岡本, 少女, 馬鈴薯, 言葉, 笑う | T2: 自分, 貴様, 里子, 運命, 如何",1,-0.9226043742911955,0.8777289052985136,-7.7941737,2.0061347
国木田 独歩,3_おとずれ_cleaned,2151,1156,35.67,1.673,0.1811,0.1811,0.2438,0.1506,0.0256,0.0309,"言葉, 宮本, 来たる, さま, 早い, 少女, 笑う, ながめる, 叔母, 報酬","T0: 自分, 叔父, 人々, 幸助, 語る | T1: 岡本, 少女, 馬鈴薯, 言葉, 笑う | T2: 自分, 貴様, 里子, 運命, 如何",2,-1.6874291449374816,-0.3975744304960122,-2.7739615,-8.04876
国木田 独歩,2_画の悲み_cleaned,644,382,37.73,2.078,0.2279,0.2279,0.2677,0.1337,0.013,0.028,"自分, 少年, チヨク, 生徒, 寫生, 學校, 水車, 村落, 好き, 鉛筆","T0: 自分, 叔父, 人々, 幸助, 語る | T1: 岡本, 少女, 馬鈴薯, 言葉, 笑う | T2: 自分, 貴様, 里子, 運命, 如何",1,-0.7643429728397501,1.5147760433582427,-1.1289867,4.8940477
国木田 独歩,4_牛肉と馬鈴薯_cleaned,2219,1185,41.26,1.825,0.1692,0.1692,0.2188,0.1306,0.0172,0.0296,"岡本, 馬鈴薯, 少女, 近藤, 牛肉, 綿貫, 松木, 真面目, 不思議, 馬鹿","T0: 自分, 叔父, 人々, 幸助, 語る | T1: 岡本, 少女, 馬鈴薯, 言葉, 笑う | T2: 自分, 貴様, 里子, 運命, 如何",2,-0.9460745771911203,0.05672712262992058,-1.8818521,0.57389826
夢野 久作,3_いなか、の、じけん_cleaned,6006,2920,33.06,1.676,0.1489,0.1489,0.2311,0.1454,0.0161,0.0242,"巡査, 帰る, 若い, 赤い, 這入る, 西村, 子供, 文作, 青年, 女房","T0: 御座る, 悪魔, 聖書, 先生, 読む | T1: 筆者, 稽古, 船長, 舞台, 小僧 | T2: 先生, 若い, 未亡人, 帰る, 巡査",2,0.06641051621635556,-0.508581165428033,1.3668059,-2.246635
夢野 久作,2_あやかしの鼓_cleaned,5158,2426,24.19,0.429,0.1257,0.1257,0.212,0.1446,0.0205,0.0247,"先生, 未亡人, 若い, 打つ, あやかし, 久能, 御座る, おれ, 両手, 死ぬ","T0: 御座る, 悪魔, 聖書, 先生, 読む | T1: 筆者, 稽古, 船長, 舞台, 小僧 | T2: 先生, 若い, 未亡人, 帰る, 巡査",2,-0.45450793631870706,-1.0224894994888365,2.2414248,-2.2384295
夢野 久作,4_梅津只円翁伝_cleaned,11288,4844,31.35,1.222,0.1399,0.1399,0.2958,0.1286,0.0137,0.0188,"筆者, 稽古, 舞台, 能楽, 謡う, 明治, 先生, シテ, 通り, 門下","T0: 御座る, 悪魔, 聖書, 先生, 読む | T1: 筆者, 稽古, 船長, 舞台, 小僧 | T2: 先生, 若い, 未亡人, 帰る, 巡査",0,2.1733050768185396,0.8044976585346868,5.825689,3.7588565
夢野 久作,5_難船小僧_cleaned,3340,1788,23.03,0.75,0.1822,0.1822,0.2367,0.1278,0.0171,0.0268,"船長, 小僧, 石炭, 少年, 運転手, アラスカ, 連中, 親方, 甲板, 機関室","T0: 御座る, 悪魔, 聖書, 先生, 読む | T1: 筆者, 稽古, 船長, 舞台, 小僧 | T2: 先生, 若い, 未亡人, 帰る, 巡査",1,-0.45516073251767236,0.5756326954776662,-2.1365955,1.9792849
夢野 久作,1_悪魔祈祷書_cleaned,2002,1163,23.06,0.807,0.2034,0.2034,0.2355,0.1281,0.0167,0.0252,"御座る, 悪魔, 先生, 聖書, 読む, 通り, 文句, ヘエヘエ, 致す, 自分","T0: 御座る, 悪魔, 聖書, 先生, 読む | T1: 筆者, 稽古, 船長, 舞台, 小僧 | T2: 先生, 若い, 未亡人, 帰る, 巡査",1,-0.7086733497706795,0.9614136665461629,-2.4056766,2.7319353
宮沢 賢治,2_イギリス海岸_cleaned,1350,724,28.28,1.308,0.1631,0.1631,0.2146,0.1265,0.0222,0.0352,"私たち, 海岸, イギリス, 泥岩, 大きな, 火山, 救助, 泳ぐ, 下流, 生徒","T0: ぼく, あまがえる, 先生, とのさまがえる, 団長 | T1: ホモイ, お父さん, 私たち, 海岸, 泣く | T2: 先生, 年生, 又三郎, 耕助, 叫ぶ",2,-1.6813362026083332,-0.2185334572283239,-4.7792735,-6.7060432
宮沢 賢治,3_風の又三郎_cleaned,3683,1355,17.59,0.725,0.0985,0.0985,0.1902,0.1371,0.0175,0.043,"先生, 年生, 又三郎, 耕助, 叫ぶ, はいる, うしろ, 佐太郎, 教室, 向こう","T0: ぼく, あまがえる, 先生, とのさまがえる, 団長 | T1: ホモイ, お父さん, 私たち, 海岸, 泣く | T2: 先生, 年生, 又三郎, 耕助, 叫ぶ",2,-1.4906999705424975,-2.010024622291307,-5.9779577,-5.504192
宮沢 賢治,1_或る農学生の日誌_cleaned,1418,781,19.45,0.219,0.1752,0.1752,0.2385,0.1307,0.0188,0.0326,"ぼく, 先生, 学校, 実習, ほんとう, 武田, 年生, 面白い, 去年, 仕事","T0: ぼく, あまがえる, 先生, とのさまがえる, 団長 | T1: ホモイ, お父さん, 私たち, 海岸, 泣く | T2: 先生, 年生, 又三郎, 耕助, 叫ぶ",2,-1.1892629282519143,0.26720018648642935,-2.0675476,0.5164377
宮沢 賢治,4_貝の火_cleaned,1772,770,16.85,0.705,0.1261,0.1261,0.1799,0.1399,0.0171,0.0379,"ホモイ, お父さん, 泣く, むぐら, お母さん, 野原, 鈴蘭, 向こう, りす, 走る","T0: ぼく, あまがえる, 先生, とのさまがえる, 団長 | T1: ホモイ, お父さん, 私たち, 海岸, 泣く | T2: 先生, 年生, 又三郎, 耕助, 叫ぶ",2,-1.7453771321838314,-1.5853608425647991,-5.050652,-5.3133063
宮沢 賢治,5_カイロ団長_cleaned,1192,612,13.52,0.735,0.1677,0.1677,0.1972,0.1238,0.0205,0.0417,"あまがえる, とのさまがえる, 団長, カイロ, 仕事, 早い, 運ぶ, さま, 勘定, つぶ","T0: ぼく, あまがえる, 先生, とのさまがえる, 団長 | T1: ホモイ, お父さん, 私たち, 海岸, 泣く | T2: 先生, 年生, 又三郎, 耕助, 叫ぶ",2,-2.1100792533391637,-0.5668374521817012,-5.6857324,-6.6797876
戸坂 潤,4_エマヌエル・カント『自然哲学原理』解説_cleaned,5869,1153,28.69,0.817,0.0684,0.0684,0.2813,0.1415,0.0119,0.0183,"運動, 物質, 空間, カント, 物体, 自然, 吾々, 形而上学, 作用, 経験","T0: 問題, 概念, 運動, 歴史的, 理論 | T1: 引用, 精神, 科学的, 文献, 現実 | T2: 意識, 社会, イデオロギ, 社会学, 文化",1,1.2976252573050144,-0.02479081512608097,5.4270515,6.107438
戸坂 潤,2_イデオロギーの論理学_cleaned,20429,2292,31.94,1.392,0.0376,0.0376,0.2754,0.1365,0.0123,0.0223,"問題, 概念, 歴史的, 理論, 性格, 立場, 科学, 論理, 真理, 事物","T0: 問題, 概念, 運動, 歴史的, 理論 | T1: 引用, 精神, 科学的, 文献, 現実 | T2: 意識, 社会, イデオロギ, 社会学, 文化",0,2.274435428675273,-0.9438144934865496,7.890711,4.0988283
戸坂 潤,5_科学的精神とは何か_cleaned,1827,744,33.89,1.737,0.1547,0.1547,0.2922,0.1185,0.0146,0.024,"引用, 精神, 科学的, 文献, 現実, 公式, 意味, 科学, 認識, 自然科学","T0: 問題, 概念, 運動, 歴史的, 理論 | T1: 引用, 精神, 科学的, 文献, 現実 | T2: 意識, 社会, イデオロギ, 社会学, 文化",1,0.39387020737014866,1.6662273200412436,-0.15557458,6.806758
戸坂 潤,1_イデオロギー概論_cleaned,26434,3086,34.75,1.631,0.0394,0.0394,0.2868,0.1224,0.0101,0.0234,"意識, 社会, イデオロギ, 社会学, 文化, 歴史的, 概念, 問題, 科学, 階級","T0: 問題, 概念, 運動, 歴史的, 理論 | T1: 引用, 精神, 科学的, 文献, 現実 | T2: 意識, 社会, イデオロギ, 社会学, 文化",0,3.1548794993667886,-0.5275988910961379,7.937953,3.484507
戸坂 潤,3_所謂批評の「科学性」についての考察_cleaned,1762,656,28.45,1.45,0.1321,0.1321,0.2592,0.1384,0.0155,0.0268,"印象, 批評, 科学的, 批評家, システム, 文芸, 追跡, 意味, 芸術, 抽象","T0: 問題, 概念, 運動, 歴史的, 理論 | T1: 引用, 精神, 科学的, 文献, 現実 | T2: 意識, 社会, イデオロギ, 社会学, 文化",1,-0.2992948343563202,0.1558796549917148,0.19429941,1.6969507
堀 辰雄,2_曠野_cleaned,1158,703,30.34,1.611,0.1582,0.1582,0.1952,0.146,0.0166,0.034,"自分, 郡司, 息子, 変る, 思い, 逢う, 殆ど, 往く, 合せ, 通う","T0: 自分, ボオイ, ホテル, 郡司, 息子 | T1: 自分, 少女, 小さな, 私たち, 或る | T2: 作品, 小説, 藝術, 大正, 自身",2,-1.682765130150369,-1.0285431538511012,-2.6937335,-5.152411
堀 辰雄,5_姨捨_cleaned,1270,743,35.19,2.247,0.1624,0.1624,0.2035,0.1452,0.0202,0.0294,"少女, 自分, 物語, 思い出す, 女房, 一しょ, 父母, 屋形, 往る, 宮仕え","T0: 自分, ボオイ, ホテル, 郡司, 息子 | T1: 自分, 少女, 小さな, 私たち, 或る | T2: 作品, 小説, 藝術, 大正, 自身",2,-1.6011843927554301,-0.704143630623077,-2.1926844,-3.677908
堀 辰雄,3_美しい村_cleaned,5313,2083,42.04,2.293,0.0983,0.0983,0.1822,0.1408,0.0159,0.0345,"小さな, 自分, 私たち, 或る, 少女, 野薔薇, 歩く, 認める, 水車, すっかり","T0: 自分, ボオイ, ホテル, 郡司, 息子 | T1: 自分, 少女, 小さな, 私たち, 或る | T2: 作品, 小説, 藝術, 大正, 自身",2,-0.8091051700627069,-1.9265936835295325,-5.396359,-4.5902333
堀 辰雄,4_エトランジェ_cleaned,1197,699,27.04,0.813,0.1894,0.1894,0.2458,0.1285,0.0114,0.0302,"ボオイ, ホテル, 帽子, 部屋, 紳士, 自分, 轉車, 西洋, 食堂, 輕井","T0: 自分, ボオイ, ホテル, 郡司, 息子 | T1: 自分, 少女, 小さな, 私たち, 或る | T2: 作品, 小説, 藝術, 大正, 自身",1,-0.5779565775580063,0.8678743852864456,-0.57931095,3.657173
堀 辰雄,1_芥川竜之介論_cleaned,4790,1696,28.31,1.176,0.1079,0.1079,0.2545,0.1245,0.0151,0.0195,"作品, 小説, 藝術, 大正, 自身, クリスト, 人間, 歴史, 對す, 作家","T0: 自分, ボオイ, ホテル, 郡司, 息子 | T1: 自分, 少女, 小さな, 私たち, 或る | T2: 作品, 小説, 藝術, 大正, 自身",1,0.8048782763497236,0.48402186056707375,2.8886178,4.834197
